STR_UNIT_CD,DESCRIPTION,VOXEL_NR,SEQ_NR,RED_DEC,GREEN_DEC,BLUE_DEC
AAOP,"Antropogene afzettingen, opgebrachte grond",1000,1,200,200,200
AAES,"Antropogene afzettingen, esdekken",1005,2,110,110,110
NIGR,"Formatie van Nieuwkoop, Laagpakket van Griendtsveen",1010,3,132,88,44
NINB,"Formatie van Nieuwkoop, Laag van Nij Beets",1045,4,180,90,20
NASC,"Formatie van Naaldwijk, Laagpakket van Schoorl",1020,5,255,255,160
ONAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (gedeelte boven NAZA)",1030,6,152,220,117
NAZA,"Formatie van Naaldwijk, Laagpakket van Zandvoort",1040,7,254,183,56
NAWAZU,"Formatie van Naaldwijk, Laagpakket van Walcheren, Zuiderzee Laag",1048,14,177,160,199
NAWAAL,"Formatie van Naaldwijk, Laagpakket van Walcheren, Almere Laag",1049,15,96,73,122
NAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren, gelegen onder Formatie van Naaldwijk, Laagpakket van Zandvoort",1050,16,152,220,117
BHEC,Formatie van Echteld (gedeelte buiten NIHO),1060,,170,255,245
OEC,Formatie van Echteld (gedeelte boven NIHO),1070,13,170,255,245
NAWOBE,"Formatie van Naaldwijk, Laagpakket van Wormer, Laag van Bergen",1080,18,0,157,155
KK1,Kreekrak Formatie (gedeelte boven NIHO),1085,17,68,138,112
NIFL,"Formatie van Nieuwkoop, Flevomeer Laag",1089,19,252,213,180
NIHO,"Formatie van Nieuwkoop, Hollandveen Laagpakket",1090,20,208,130,40
NAZA2,"Formatie van Naaldwijk, Laagpakket van Zandvoort (gedeelte onder NIHO)",1095,21,254,183,56
NAWO,"Formatie van Naaldwijk, Laagpakket van Wormer",1100,27,63,165,76
NWNZ,"Formatie van Naaldwijk, laagpakketten van Wormer en Zandvoort",1110,,63,165,76
NAWOVE,"Formatie van Naaldwijk, Laagpakket van Wormer, Laag van Velsen",1120,29,189,183,107
KK2,Kreekrak Formatie (gedeelte onder NIHO),1125,30,68,138,112
NIBA,"Formatie van Nieuwkoop, Basisveen Laag",1130,31,152,47,10
NA,Formatie van Naaldwijk,2000,12,105,200,100
EC,Formatie van Echteld,2010,28,170,255,245
NI,Formatie van Nieuwkoop,2020,,208,130,40
KK,Kreekrak Formatie,2030,,68,138,112
BXKO,"Formatie van Boxtel, Laagpakket van Kootwijk",3000,34,255,255,190
BXSI,"Formatie van Boxtel, Laagpakket van Singraven",3010,,190,190,0
BXSI1,Formatie van Boxtel Laagpakket van Singraven (bovenste deel),3011,35,190,190,0
BXWI,"Formatie van Boxtel, Laagpakket van Wierden",3020,36,255,255,80
BXSI2,Formatie van Boxtel Laagpakket van Singraven (onderste deel),3012,37,255,255,130
BXWIKO,"Formatie van Boxtel, laagpakketten van Wierden en Kootwijk",3025,38,255,255,80
BXWISIKO,"Formatie van Boxtel, laagpakketten van Wierden, Singraven en Kootwijk",3030,39,255,255,80
BXDE,"Formatie van Boxtel, Laagpakket van Delwijnen",3040,40,225,225,130
BXDEKO,"Formatie van Boxtel, laagpakketten van Delwijnen en Kootwijk",3045,41,225,225,130
BXSC,"Formatie van Boxtel, Laagpakket van Schimmert",3050,42,255,205,0
BXLM,"Formatie van Boxtel, Laagpakket van Liempde",3060,43,225,190,0
BXBS,"Formatie van Boxtel, Laagpakket van Best",3090,46,235,205,0
BX,Formatie van Boxtel,3100,47,255,235,0
KRWY,"Formatie van Kreftenheye, Laag van Wijchen",4000,48,86,0,0
KRBXDE,"Formatie van Kreftenheye en Formatie van Boxtel, Laagpakket van Delwijnen",4010,49,176,48,96
KRZU,"Formatie van Kreftenheye, Laagpakket van Zutphen",4020,50,136,0,0
KROE,"Formatie van Kreftenheye, gelegen onder de Eem Formatie",4030,61,176,48,96
KRTW,"Formatie van Kreftenheye, Laagpakket van Twello",4040,51,156,18,46
KR,Formatie van Kreftenheye,4050,52,176,48,96
BEOM,"Formatie van Beegden, Laagpakket van Oost-Maarland",4055,32,129,105,123
BEWY,"Formatie van Beegden, Laag van Wijchen",4060,53,170,155,180
BERO,"Formatie van Beegden, Laag van Rosmalen",4070,54,160,140,155
BE,Formatie van Beegden,4080,55,200,200,255
KW1,Formatie van Koewacht (kleiige top),4085,56,152,139,0
KW,Formatie van Koewacht,4090,57,172,169,43
WB,Formatie van Woudenberg,4100,58,137,67,30
EE,Eem Formatie,4110,59,210,255,115
EEWB,Formatie van Woudenberg en Eem Formatie,4120,60,210,255,115
DR,Formatie van Drente,5000,62,255,127,80
DRGI,"Formatie van Drente, Laagpakket van Gieten",5010,63,235,97,30
