Eenheid,strat,Beschrijving,lithok,Lithoklasse,kh,kv
AAES,1005,"Antropogene afzettingen, esdekken",1,Organisch materiaal (veen) ,0.049,0.049
AAES,1005,"Antropogene afzettingen, esdekken",2,Klei ,0.004,0.004
AAES,1005,"Antropogene afzettingen, esdekken",3,"Kleiig zand, zandige klei en leem ",0.004,0.004
AAES,1005,"Antropogene afzettingen, esdekken",5,Fijn zand ,1.38654620920253,0.566129825095818
AAES,1005,"Antropogene afzettingen, esdekken",6,Midden zand ,1.68810513168277,0.486890770458667
AAES,1005,"Antropogene afzettingen, esdekken",7,"Grof zand, grind en schelpen ",12.028216,10.22360777
AAES,1005,"Antropogene afzettingen, esdekken",8,Grind (indien apart gemodelleerd) ,85.1,85.1
AAOP,1000,"Antropogene afzettingen, opgebrachte grond",0,Antropogeen ,1.0,1.0
BE,4080,Formatie van Beegden,1,Organisch materiaal (veen) ,0.049,0.049
BE,4080,Formatie van Beegden,2,Klei ,3.38835745416981,0.00826310865323914
BE,4080,Formatie van Beegden,3,"Kleiig zand, zandige klei en leem ",3.38835745416981,0.00826310865323914
BE,4080,Formatie van Beegden,5,Fijn zand ,4.199231868,2.10646786974217
BE,4080,Formatie van Beegden,6,Midden zand ,4.37434787002799,2.10646786974217
BE,4080,Formatie van Beegden,7,"Grof zand, grind en schelpen ",16.0173957746441,12.1433954600592
BE,4080,Formatie van Beegden,8,Grind (indien apart gemodelleerd) ,170.0,170.0
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",1,Organisch materiaal (veen) ,0.049,0.049
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",2,Klei ,0.119350064610401,0.00941837448093238
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",3,"Kleiig zand, zandige klei en leem ",0.119350064610401,0.02
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",5,Fijn zand ,4.199231868,3.871552231
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",6,Midden zand ,7.5521518,7.589237854
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",7,"Grof zand, grind en schelpen ",58.0,58.0
BEOM,4055,"Formatie van Beegden, Laagpakket van Oost-Maarland",8,Grind (indien apart gemodelleerd) ,170.0,170.0
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",1,Organisch materiaal (veen) ,0.049,0.049
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",2,Klei ,0.119350064610401,0.00941837448093238
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",3,"Kleiig zand, zandige klei en leem ",0.119350064610401,0.02
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",5,Fijn zand ,4.199231868,3.871552231
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",6,Midden zand ,7.5521518,7.589237854
BEOMga,6005,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",7,"Grof zand, grind en schelpen ",58.0,58.0
